Table 33 : GDP and its main expenditure components in chained (2020) dollars,,,,,,,,,,,,,,,,,,
https://www.censtatd.gov.hk/en/web_table.html?id=33#,,,,,,,,,,,,,,,,,,
,,In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1)
,,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change
GDP expenditure component,,GDP,Private consumption expenditure,Government consumption expenditure,Gross domestic fixed capital formation,Changes in inventories,Exports of goods (f.o.b.) (2),Exports of services (2),Imports of goods (f.o.b.) (2),Imports of services (2),GDP,Private consumption expenditure,Government consumption expenditure,Gross domestic fixed capital formation,Exports of goods (f.o.b.) (2),Exports of services (2),Imports of goods (f.o.b.) (2),Imports of services (2)
Year,Quarter,,,,,,,,,,,,,,,,,
1982,Q2,148590,90751,20592,42088,4417,53135,27408,59775,16502,1.5,1.2,14.5,-5.7,-4.3,3.1,-4.7,3.9
1982,Q3,157327,99186,21148,46068,50,56583,26797,61056,17617,3.3,9.8,15.4,5.2,-5.3,2.5,-1.8,5.8
1982,Q4,161153,100991,20554,43781,1161,59513,26656,63337,15779,1.2,3.7,0,2.4,-1.5,2.2,-0.7,4.6
1983,Q1,150297,102913,22492,40862,-10760,49310,27708,54198,18659,0.5,6.9,3.9,-10.3,1.4,-2.8,-2.5,7.2
1983,Q2,157922,100550,22143,39274,4223,59465,28805,64340,18364,6.3,10.8,7.5,-6.7,11.9,5.1,7.6,11.3
1983,Q3,169336,106192,22302,41550,2557,66874,29199,67158,20548,7.6,7.1,5.5,-9.8,18.2,9,10,16.6
1983,Q4,176075,107809,22327,41365,6620,71690,30554,73641,19555,9.3,6.8,8.6,-5.5,20.5,14.6,16.3,23.9
1984,Q1,169061,109274,23780,40474,-269,64893,31804,65391,22404,12.5,6.2,5.7,-1,31.6,14.8,20.7,20.1
1984,Q2,180422,104759,22161,41951,9886,73720,33027,73798,22126,14.2,4.2,0.1,6.8,24,14.7,14.7,20.5
1984,Q3,187553,113259,23655,42123,1767,80372,31786,74846,22811,10.8,6.7,6.1,1.4,20.2,8.9,11.4,11
1984,Q4,181972,114724,23378,42883,1906,81003,31222,80062,22145,3.3,6.4,4.7,3.7,13,2.2,8.7,13.2
1985,Q1,179175,113002,24307,42041,698,73238,35661,72161,24789,6,3.4,2.2,3.9,12.9,12.1,10.4,10.6
1985,Q2,175805,111162,22713,42251,1097,78746,34684,79398,24165,-2.6,6.1,2.5,0.7,6.8,5,7.6,9.2
1985,Q3,182802,115514,24182,40118,-74,80765,31532,75389,24399,-2.5,2,2.2,-4.8,0.5,-0.8,0.7,7
1985,Q4,186366,121090,24611,43178,2034,82779,32280,82643,24058,2.4,5.5,5.3,0.7,2.2,3.4,3.2,8.6
1986,Q1,180214,121719,25862,41668,-1666,70279,34988,70826,26806,0.6,7.7,6.4,-0.9,-4,-1.9,-1.9,8.1
1986,Q2,190671,118073,24466,42366,7503,84741,37149,84615,27356,8.5,6.2,7.7,0.3,7.6,7.1,6.6,13.2
1986,Q3,213775,127058,25344,43998,3437,96340,38777,87022,28959,16.9,10,4.8,9.7,19.3,23,15.4,18.7
1986,Q4,219895,133278,26207,49738,3765,105159,40574,100306,29847,18,10.1,6.5,15.2,27,25.7,21.4,24.1
1987,Q1,203916,133081,26964,48181,882,94417,41378,93385,32632,13.2,9.3,4.3,15.6,34.3,18.3,31.9,21.7
1987,Q2,216504,134401,24982,48844,5262,113019,43512,109264,33958,13.5,13.8,2.1,15.3,33.4,17.1,29.1,24.1
1987,Q3,246250,141021,26140,52502,4076,127678,45309,112847,35506,15.2,11,3.1,19.3,32.5,16.8,29.7,22.6
1987,Q4,245658,144911,27075,53428,9017,130612,47145,122720,36318,11.7,8.7,3.3,7.4,24.2,16.2,22.3,21.7
1988,Q1,223689,147145,27408,51483,-3553,116310,45874,109906,38970,9.7,10.6,1.6,6.9,23.2,10.9,17.7,19.4
1988,Q2,235899,144218,26041,54436,11149,137382,48225,134729,40116,9,7.3,4.2,11.4,21.6,10.8,23.3,18.1
1988,Q3,264119,152986,28481,56187,9714,159895,47437,144142,43163,7.3,8.5,9,7,25.2,4.7,27.7,21.6
1988,Q4,266275,160922,27442,57366,9000,165656,49629,154331,43077,8.4,11,1.4,7.4,26.8,5.3,25.8,18.6
1989,Q1,239023,157571,29833,57463,4280,138386,47209,136794,43732,6.9,7.1,8.8,11.6,19,2.9,24.5,12.2
1989,Q2,242851,150956,27391,58158,9403,155222,48106,152043,43154,2.9,4.7,5.2,6.8,13,-0.2,12.9,7.6
1989,Q3,264835,157577,28199,57701,-4932,170017,47416,144686,46253,0.3,3,-1,2.7,6.3,0,0.4,7.2
1989,Q4,265815,162332,29673,54796,-2545,164578,49647,143174,45779,-0.2,0.9,8.1,-4.5,-0.7,0,-7.2,6.3
1990,Q1,241177,158537,31753,58335,-1879,139091,47938,133061,46078,0.9,0.6,6.4,1.5,0.5,1.5,-2.7,5.4
1990,Q2,253663,160126,28061,61486,8911,164098,50181,159136,49515,4.5,6.1,2.4,5.7,5.7,4.3,4.7,14.7
1990,Q3,277894,172087,30742,61992,1833,180024,49662,159061,53951,4.9,9.2,9,7.4,5.9,4.7,9.9,16.6
1990,Q4,278575,177038,30609,64966,1660,194279,50870,179061,53861,4.8,9.1,3.2,18.6,18,2.5,25.1,17.7
1991,Q1,255817,170601,34018,61151,8056,159209,49616,155440,55339,6.1,7.6,7.1,4.8,14.5,3.5,16.8,20.1
1991,Q2,267084,174896,31591,67608,10592,187438,52261,187920,54385,5.3,9.2,12.6,10,14.2,4.1,18.1,9.8
1991,Q3,292277,190588,32243,69207,-4377,212426,51666,190219,62845,5.2,10.8,4.9,11.6,18,4,19.6,16.5
1991,Q4,296077,193531,33138,72075,-6771,226727,53954,203142,67460,6.3,9.3,8.3,10.9,16.7,6.1,13.4,25.2
1992,Q1,271860,186653,37976,66083,2651,194190,54403,189264,64765,6.3,10,7,8.1,22,9.6,21.8,17
1992,Q2,284837,190461,36141,74449,11287,228107,56910,232694,62796,6.6,9.5,9.6,10.1,21.7,8.9,23.8,15.5
1992,Q3,311896,206180,37272,76308,-6150,251629,57244,229845,72546,6.7,8.8,10.8,10.3,18.5,10.8,20.8,15.4
1992,Q4,311948,208937,37288,77410,3403,265103,57778,252775,73128,5.4,8.5,7.8,7.4,16.9,7.1,24.4,8.4
1993,Q1,289181,201072,38045,71269,2404,227925,57068,228135,63545,6.4,7.7,0.2,7.8,17.4,4.9,20.5,-1.9
1993,Q2,302168,207367,37869,77514,10499,258835,59912,265126,67150,6.1,8.9,4.8,4.1,13.5,5.3,13.9,6.9
1993,Q3,330390,216810,38224,77667,845,290193,61781,268245,77176,5.9,5.2,2.6,1.8,15.3,7.9,16.7,6.4
1993,Q4,332009,229145,38436,76460,-9471,287896,61449,268612,72479,6.4,9.7,3.1,-1.2,8.6,6.4,6.3,-0.9
1994,Q1,312037,221736,39686,82070,-7821,248674,61772,247754,71650,7.9,10.3,4.3,15.2,9.1,8.2,8.6,12.8
1994,Q2,322623,220059,39627,89135,22941,286102,62566,304051,74363,6.8,6.1,4.6,15,10.5,4.4,14.7,10.7
1994,Q3,345533,226616,39618,85667,16140,318401,64502,305862,85578,4.6,4.5,3.6,10.3,9.7,4.4,14,10.9
1994,Q4,349232,241508,39706,91388,3512,316764,66036,316233,79240,5.2,5.4,3.3,19.5,10,7.5,17.7,9.3
1995,Q1,324142,226370,40946,88802,13954,286828,63194,304699,73420,3.9,2.1,3.2,8.2,15.3,2.3,23,2.5
1995,Q2,332077,225802,40180,95212,30607,320265,64220,351897,73679,2.9,2.6,1.4,6.8,11.9,2.6,15.7,-0.9
1995,Q3,349916,227699,41456,94863,14518,359130,66079,353506,88550,1.3,0.5,4.6,10.7,12.8,2.4,15.6,3.5
1995,Q4,354848,244871,41249,94780,9245,337942,67118,348490,76782,1.6,1.4,3.9,3.7,6.7,1.6,10.2,-3.1
